epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,646.953,0.79391,1.21435,1.11363,1.07558,0.83934,0.56605,0.57776,0.41003,0.83934,0.56605,0.57776,0.36125,0.82358,1.90538,1.30388,1.05022,0.000268938,0.000268938,0.000268938
84,655.286,0.70235,1.17914,1.0867,1.03402,0.83734,0.56576,0.56714,0.41763,0.83734,0.56576,0.56714,0.35723,0.80256,1.88134,1.2616,1.03391,0.000254791,0.000254791,0.000254791
85,663.725,0.7348,1.29473,1.07431,1.02951,0.83734,0.56576,0.56714,0.41763,0.83734,0.56576,0.56714,0.35723,0.80256,1.88134,1.2616,1.03391,0.000240644,0.000240644,0.000240644
86,671.67,0.81773,1.48695,1.11609,1.14387,0.977,0.50123,0.58552,0.4397,0.977,0.50123,0.58552,0.3803,0.75074,1.78036,1.22642,1.00874,0.000226497,0.000226497,0.000226497
87,679.758,0.74081,1.10365,1.01525,1.05524,0.977,0.50123,0.58552,0.4397,0.977,0.50123,0.58552,0.3803,0.75074,1.78036,1.22642,1.00874,0.000212349,0.000212349,0.000212349
88,687.867,0.74202,1.13162,0.98864,1.02452,0.83902,0.56944,0.58731,0.44347,0.79005,0.51389,0.51866,0.37942,0.7242,1.78147,1.22802,1.00312,0.000198202,0.000198202,0.000198202
89,695.755,0.7345,1.13587,1.05766,1.05077,0.83902,0.56944,0.58731,0.44347,0.79005,0.51389,0.51866,0.37942,0.7242,1.78147,1.22802,1.00312,0.000184055,0.000184055,0.000184055
90,703.459,0.83299,1.33942,1.25832,1.14919,0.8983,0.5656,0.59633,0.44925,0.84343,0.51111,0.52451,0.38497,0.7209,1.81877,1.21169,1.00215,0.000169908,0.000169908,0.000169908
91,711.065,0.74164,1.21274,1.39751,1.12291,0.8983,0.5656,0.59633,0.44925,0.84343,0.51111,0.52451,0.38497,0.7209,1.81877,1.21169,1.00215,0.000155761,0.000155761,0.000155761
92,718.506,0.70642,1.05085,1.38754,1.12081,0.8983,0.5656,0.59633,0.44925,0.84343,0.51111,0.52451,0.38497,0.7209,1.81877,1.21169,1.00215,0.000141614,0.000141614,0.000141614
93,726.017,0.85086,1.48505,1.59085,1.27221,0.86842,0.54861,0.59224,0.44981,0.80946,0.49418,0.52043,0.38108,0.69578,1.87054,1.25841,0.98582,0.000127467,0.000127467,0.000127467
94,733.418,0.74929,1.1399,1.41332,1.18899,0.86842,0.54861,0.59224,0.44981,0.80946,0.49418,0.52043,0.38108,0.69578,1.87054,1.25841,0.98582,0.00011332,0.00011332,0.00011332
95,740.825,0.68484,1.1363,1.31735,1.0723,0.89878,0.56887,0.59425,0.44972,0.83803,0.51389,0.52425,0.37583,0.67311,1.87206,1.3112,0.97727,9.91726e-05,9.91726e-05,9.91726e-05
